32768,65536,98304,131072,163840,
5.19305,5.18875,5.19049,5.18279,5.18311,
20.9558,23.4612,23.24,22.2542,22.3943,
53.5015,50.1841,49.8551,49.9995,50.0466,
90.2894,89.4519,89.4918,90.753,97.1501,
175,185.408,151.188,140.022,146.666,
32768,65536,98304,131072,163840,
0.00114736,0.00117393,0.00116523,0.00113961,0.00113749,
0.00221179,0.00220442,0.00220169,0.00220775,0.00220456,
0.00330338,0.00321407,0.00332768,0.00346226,0.00341159,
0.00443226,0.00439948,0.0044195,0.00441627,0.00450109,
0.00585764,0.00569459,0.00559432,0.00553311,0.00567616,
32768,65536,98304,131072,163840,
12.9106,13.4632,11.7923,11.3981,11.313,
45.4119,46.5133,45.6947,45.7442,46.1152,
102.732,102.171,102.02,102.231,102.039,
183.306,182.618,182.925,182.655,187.289,
291.155,312.549,318.082,297.709,317.302,
32768,65536,98304,131072,163840,
0.00119772,0.00123276,0.00121824,0.00123737,0.00121578,
0.00247304,0.00235936,0.0023757,0.00234459,0.00235951,
0.00352646,0.0035281,0.00352995,0.00356845,0.00352202,
0.00461787,0.00456273,0.00456741,0.00455038,0.0046247,
0.00571068,0.00585907,0.00587329,0.00585372,0.00571874,
32768,65536,98304,131072,163840,
6.14789,6.05844,6.0698,6.00217,6.08432,
23.91,24.1086,24.0446,24.3434,25.1672,
56.9037,56.6772,57.6777,57.3315,56.8881,
101.189,105.483,100.884,100.39,102.407,
152.956,156.045,157.236,176.362,167.419,
32768,65536,98304,131072,163840,
5.8914,5.88975,5.97634,6.1173,6.12166,
24.1802,24.3203,24.0026,24.0757,23.9814,
52.7588,54.1907,52.9529,53.6736,67.8315,
96.11,94.2349,94.5419,94.9927,90.9638,
140.939,139.537,143.676,140.367,142.579,
32768,65536,98304,131072,163840,
5.85584,5.83826,5.835,5.83915,5.86029,
23.4551,23.6426,23.5471,23.3258,23.6178,
52.6844,52.5791,52.9665,52.8338,53.1688,
93.5211,94.1934,94.0983,98.1676,95.9126,
144.918,146.495,146.985,148.84,164.07,
32768,65536,98304,131072,163840,
6.12914,6.0444,5.95246,5.88536,5.8678,
23.6466,23.628,23.5893,23.534,23.9738,
53.2318,53.2896,53.3249,52.8784,53.1933,
96.9022,93.0402,99.6021,98.2696,98.6042,
149.775,147.056,152.285,147.86,140.672,
