32768,65536,98304,131072,163840,
5.19305,5.18875,5.19049,5.18279,5.18311,
20.9558,23.4612,23.24,22.2542,22.3943,
53.5015,50.1841,49.8551,49.9995,50.0466,
90.2894,89.4519,89.4918,90.753,97.1501,
175,185.408,151.188,140.022,146.666,
32768,65536,98304,131072,163840,
0.00114736,0.00117393,0.00116523,0.00113961,0.00113749,
0.00221179,0.00220442,0.00220169,0.00220775,0.00220456,
0.00330338,0.00321407,0.00332768,0.00346226,0.00341159,
0.00443226,0.00439948,0.0044195,0.00441627,0.00450109,
0.00585764,0.00569459,0.00559432,0.00553311,0.00567616,
