32768,65536,98304,131072,163840,
0.00789948,0.00804301,0.00781277,0.0079864,0.00782274,
0.0168821,0.0167988,0.0166533,0.016758,0.0167407,
0.0260308,0.0258642,0.0258673,0.0257467,0.0258503,
0.03518,0.035099,0.0355172,0.0351014,0.0353474,
0.0445008,0.0451597,0.0445294,0.0446549,0.0451896,
32768,65536,98304,131072,163840,
0.00407385,0.0039945,0.00404572,0.00435009,0.00410459,
0.00892918,0.00854399,0.00880492,0.00871395,0.00901908,
0.0139801,0.0141824,0.0141578,0.0142091,0.014236,
0.0184808,0.0185699,0.0184554,0.0184715,0.0185329,
0.0252586,0.025313,0.0253579,0.0255127,0.0257031,
32768,65536,98304,131072,163840,
0.00359183,0.0034441,0.00343487,0.0036067,0.00343817,
0.0072064,0.00744013,0.00722834,0.00729544,0.00721753,
0.0118872,0.0117463,0.0117005,0.0117784,0.011835,
0.0152246,0.0150406,0.0151907,0.0151183,0.0151299,
0.0205698,0.0205413,0.0204916,0.0206108,0.0206263,
