10000,20000,30000,40000,50000,60000,70000,80000,90000,100000,
16768096,16785884,16771704,16772902,16739475,16726728,16765378,16750394,16779976,16762253,
15629718,15633961,15622271,15614912,15627721,15605454,15590641,15618181,15076165,15534077,
12677846,12664199,12636681,12591212,12718026,12611836,12752332,12746261,12632370,12656768,
12427626,11913802,12474809,12330022,12385930,12373300,12366915,12489035,12524923,12413122,
9657467,9639225,9616178,9535440,9656493,9651806,9628702,9638812,9669355,9607773,
6819435,6845786,6836964,6868123,6840603,6773543,6815149,6840260,6830199,6838263,
6526430,6497682,6536872,6570692,6580643,6600053,6556491,6568223,6527767,6492784,
6054204,6093365,6064809,6122668,6113636,6135975,6094522,6099625,6045623,6143396,
4859229,4871063,4849507,4865532,4898495,4912458,4894348,4895264,4865621,4878049,
5397062,5415443,5379596,5366741,5381939,5401336,5394256,5433496,5394012,5375646,
