10000,20000,30000,40000,50000,60000,70000,80000,90000,100000,
8099505,8080239,8095538,8087299,8075321,8083322,8086355,8071360,8096412,8093646,
7594627,7586426,7615698,7603715,7591828,7582516,7598362,7604849,7593590,7611585,
7293114,7295406,7290980,7301277,7298848,7301667,7291760,7290757,7292672,7271932,
6953733,6951121,6939508,6940739,6922733,6925132,6959227,6944428,6790601,6919558,
6722075,6702006,6723856,6705220,6719829,6721415,6727623,6710593,6728731,6719893,
6516374,6511516,6531618,6532769,6534740,6521985,6526452,6526154,6544354,6519204,
6371188,6379092,6373766,6358660,6383325,6377003,6359306,6377583,6375011,6353751,
6229225,6234787,6221617,6239443,6242436,6215971,6233613,6201976,6213892,6246754,
6139602,6118531,6132622,6114944,6109122,6127448,6127433,6112010,6115453,6130719,
6019230,6025068,6031029,6032704,6045025,6032037,6001802,6033910,6022642,5904038,
